Venue_Name,Address,Format,Price
OYO 11137 Hotel Morgen Suites,"Off Brigade Road, Bangalore",Bath Tub  Elevator  Complimentary Breakfast  (+ 11 more),1938
OYO 26568 Sai Heaven,"Swamy Vivekananda Road, Ulsoor, Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 11 more),1006
OYO 15711 Athiti Residency,"Marathahalli, Bangalore",Parking Facility  First Aid  CCTV Cameras  (+ 8 more),1006
OYO 18338 White Fort,"Dispensary Rd, Kalasipalya,Bangalore",Elevator  Complimentary Breakfast  AC  (+ 8 more),850
Collection O 30004 Malleswaram,"Near Mantri Mall, Malleshwaram, Bangalore",Parking Facility  In-house Restaurant  Kitchen  (+ 3 more),2160
OYO 48789 Sri Vinayaka Lodge,"Karanje Extension, Malur, Bangalore",First Aid  Elevator  Wheelchair Accessible  (+ 14 more),728
OYO Home 36553 Elegant Stay JP Nagar,"Siddalingeshwara Theatre, Phase 6, JP Nagar, Bangalore",Kitchen  Attached Bathroom  Daily Housekeeping  (+ 9 more),999
OYO 10242 Hotel Shelton Suites,"Near VIVA Toyota, Hunasamaranahalli, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 5 more),811
OYO Home 46055 Luxurious Villa Hsr Layout,"1st Sector, HSR Layout, Bangalore",Buzzer/Door Bell  Attached Bathroom  Daily Housekeeping  (+ 6 more),1499
Silverkey Executive stays 42518 Sai Balaji Saver,"Bommanahalli, Bangalore",Attached Bathroom  Card Payment  CCTV Cameras  (+ 5 more),654
SPOT ON 48591 Basapura,"Electronic City, Bangalore",AC  TV  Free Wifi,1653
OYO 6787 Sri Sai Residency,"Medanahalli, Cocola-Toyato Main Road, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 6 more),811
OYO 579 Hotel AAB,"Near MGA Hospital, Marathahalli, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 6 more),1294
OYO Flagship 26565 Puttana Chetty Townhall,"Near Rajatha Mahal Complex, Bangalore",Kitchen  First Aid  Attached Bathroom  (+ 9 more),904
OYO 16585 Venkat Presidency,"Near RNS Motors Yeshwanthpur, Bangalore",Complimentary Breakfast  First Aid  Card Payment  (+ 3 more),865
OYO 7898 Hotel Al Fa Inn,"Koramangala, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 8 more),1006
OYO 11683 Hotel YMCA,"Near Reserve Bank of India, Nrupathunga Road, Bangalore",Elevator  AC  TV  (+ 4 more),1006
OYO 10478 Raj Residency,"Lakkasandra Extension, Wilson Garden, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 7 more),811
OYO 37349 Sai Palace,"Near Sapthagiri Engineering College, Bangalore",First Aid  Daily Housekeeping  Elevator  (+ 13 more),811
OYO 12776 SV Suites,"Near Gyanadipika Bhargavi High School, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 10 more),811
OYO Flagship 15777 Basvanagudi,"Near  Bangalore Medical College, Bengaluru",Parking Facility  In-house Restaurant  Kitchen  (+ 6 more),784
OYO 38410 Hotel Hsr Comforts,"Near Yesvantpur Junction Railway Station, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 4 more),811
SPOT ON 41867 Century Lodge SPOT,"Near Cratis Hospital, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 6 more),490
OYO 17123 Hotel Sandesh Kingston,"Near Anand Rao Circle, Gandhi Nagar, Bangalore",Kitchen  Complimentary Veg Breakfast  CCTV Cameras  (+ 10 more),2313
OYO 23030 Hotel Gtv Comforts,"Near 1st Phase, Mathikere main road, Bangalore",Parking Facility  Complimentary Veg Breakfast  Attached Bathroom  (+ 9 more),2333
OYO Home 46496 Exotic Stay Silk Board,"Sector 6, HSR Layout, Bangalore",Parking Facility  Kitchen  Functional Living Area  (+ 15 more),1256
Collection O 30001 Whitefield ITPL,"Near Cloud Nine Hospital, Pattandur Agrahara, Bangalore",Parking Facility  In-house Restaurant  Kitchen  (+ 3 more),1244
OYO 10525 Varcity Abra Madiwala,"Maruti Nagar, BTM Layout, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 7 more),855
OYO Home 46641 Exotic Stay Near Cubbon Park,"RT Nagar, Matadahalli Extension, Bangalore",Kitchen  Functional Living Area  Attached Bathroom  (+ 9 more),1208
OYO 2321 Hotel Nile Residency,"Behind Ayyappa Temple, Madiwala, Bangalore",First Aid  Daily Housekeeping  Elevator  (+ 15 more),811
OYO 39947 Holistic Life Care,"Near Electronic City Phase 1, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 11 more),781
OYO 875 Eyrie Suites,"Near AECS Layout, Marathahalli, Bengaluru",First Aid  Elevator  Complimentary Breakfast  (+ 14 more),982
OYO 765 Hotel Sunil Residency,"Shivahalli, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 4 more),852
OYO 27781 Sri Sai Comforts,"Uttarahalli Kengeri main rd, Bangalore",First Aid  Daily Housekeeping  Elevator  (+ 10 more),766
OYO 25032 Seven Hills Guestline,"Opposite Appolo Pharmacy, RR Nagar Bangalore, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 8 more),766
OYO 14799 Canvas Suites,"HSR Layout Main Road, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 10 more),971
OYO 2266 Gokul Heritage,"BTM 2nd Stage, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 6 more),962
OYO 17177 N Capital Saver,"Mysore Road Cross, Kengeri Satellite Town, Bangalore",AC  TV  Power backup  (+ 2 more),653
OYO 16033 Hotel Cartier Biznotel,"Jai Munirao Circle, Vijaynagar, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 12 more),1209
OYO 754 Sapthagiri Residency,"BTM Layout, Bangalore",First Aid  Attached Bathroom  CCTV Cameras  (+ 7 more),932
Capital O 9418 Pride Homes,"Panathur, Bangalore",CCTV Cameras  Geyser  In-house Restaurant  (+ 3 more),1408
OYO 17160 Rain Tree Comforts,"Near Swarna Gyathri Mansion, HSR Layout, Bengaluru",Parking Facility  Kitchen  CCTV Cameras  (+ 9 more),811
OYO 19358 Aster Suites,"Next to little Elly School, Hebbal, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 16 more),865
OYO 17018 Roots Nest,"Behind Coffee Day, Malleshwaram, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 9 more),1241
OYO 12965 Archana Comforts,"Near Minerva Circle, JC Road, Bangalore",First Aid  Conference Room  Elevator  (+ 12 more),811
OYO 11592 Hotel Red Carpet Residence,Near Richmond Road,Kitchen  AC  TV  (+ 6 more),1006
OYO 13745 CMN Stay,"Hoskote, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),811
OYO 12083 Hotel Champion Inn,"Yeshwanthpur, Nanjappa Reddy Colony, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 8 more),811
Collection O 30005 Whitefield,"Near Inorbit Mall, Whitefield, Bangalore",AC  TV  Free Wifi,966
OYO 18923 Mel's Regency,"Near Vijaya Bank, Domlur, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 6 more),1424
SPOT ON 47477 Hotel Maurya Paradise Inn SPOT,"Near Devasandra Layout, Bangalore",Attached Bathroom  Daily Housekeeping  Card Payment  (+ 4 more),549
SilverKey Executive Stays 27924 Yelahanka New Town,"HIG B Sector, Yelahanka new town, Bangalore",Parking Facility  Kitchen  First Aid  (+ 15 more),1300
Capital O 29584 Fortune Gateway,"Near NRV Hospital, Bangalore",Buzzer/Door Bell  Attached Bathroom  Daily Housekeeping  (+ 7 more),1006
OYO 2420 Ashwa Comfort,"Near ITC Factory, New Airport Road, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 7 more),811
OYO 24481 Hotel Serenity Inn,"Near Amarjyoti, Banglore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 13 more),811
OYO 1256 Compact Magnolia,"Near Moritz Restaurant, AECS Layout, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 9 more),811
OYO 16937 Alankar Residency,"Mysore Road Kengeri, Bangalore",CCTV Cameras  Geyser  Elevator  (+ 5 more),766
SPOT ON 40980 Kalinga Residency SPOT,"Near Yediyur Bus Stop, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 9 more),490
SPOT ON 41441 Chinthu Comforts,"Near Siddaganga Mata, Bangalore",First Aid  Attached Bathroom  CCTV Cameras  (+ 6 more),704
OYO 7918 Home Apartment The Premium Services,"Halasuru, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 8 more),2290
OYO 12737 JK Residency,"Electronic City, Bangalore",Parking Facility  Wheelchair Accessible  AC  (+ 6 more),811
OYO 46800 M.S. Residency,"Mysore Road, Bididi, Bangalore",AC  TV  Attached Bathroom  (+ 5 more),781
OYO 43621 Hindavi Inn 3,"Sadguru Layout, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 7 more),781
OYO Townhouse 159 Sarjapur,"Doddakannelli, Bangalore",First Aid  Voice enabled rooms  Daily Housekeeping  (+ 19 more),1760
OYO Home 37041 Elegant Stay HSR Club Road,"Sector 3, HSR Layout, Bengaluru",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 4 more),1250
OYO 1231 Roxel Inn,"Near Diamond District Gate, Bangalore",Kitchen  Complimentary Veg Breakfast  CCTV Cameras  (+ 9 more),919
OYO 39777 Transit Dorms,"Near Maruthi Nagar Main Road, Bangalore",Buzzer/Door Bell  Attached Bathroom  Daily Housekeeping  (+ 7 more),811
OYO 3246 The Bouvice,"Near Maharaja Signal, S.T Bed Layout, Bangalore",Daily Housekeeping  Elevator  Complimentary Breakfast  (+ 19 more),1508
OYO 30686 G K Residency,"Near Jalahalli Metro Station, Peenya, Bangalore",Buzzer/Door Bell  Attached Bathroom  Daily Housekeeping  (+ 12 more),781
OYO 9439 Sri Sai Comforts,"Koramangala, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 6 more),832
OYO 3664 Hotel Shivaal's Residency,"Rajajinagar, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 11 more),1006
OYO 2132 Aditya Residency,"Near Florence College of Nursing, Bangalore",Parking Facility  Complimentary Breakfast  AC  (+ 8 more),1006
OYO 8575 Shree Comforts,"Near 7 Sector, HSR Layout, Bangalore",Parking Facility  AC  TV  (+ 5 more),1208
OYO 14272 Manyata Palace,"Near Manyata Tech Park, Jakkur, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 6 more),765
OYO Home 47073 Cosy Stay Near D Mart,"4th Block, HBR Layout, Bangalore",Kitchen  Functional Living Area  CCTV Cameras  (+ 6 more),864
OYO Flagship 16105 Majestic,"Cottonpet Main Road,Near Majestic, Bangalore",Kitchen  Card Payment  CCTV Cameras  (+ 2 more),832
OYO 8463 Grand,"Bhoomi Reddy colony, New Thippasandra, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 8 more),1294
OYO 18626 Diamond Paradise,"Nandini Layout, Bangalore",Kitchen  CCTV Cameras  In-house Restaurant  (+ 5 more),766
OYO 13594 Mathrushree Residency,"Near ESI Hospital, Rajaji Nagar, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 6 more),972
OYO Home 39443 Peaceful Stay Yelahanka,"Agrahara Badavane, Yelahanka, Bengaluru",Kitchen  Functional Living Area  Attached Bathroom  (+ 10 more),703
OYO 8116 Park Inn,"Near Empire Restaurant, Banglore",CCTV Cameras  Geyser  Elevator  (+ 6 more),1401
OYO 39746 The Roy Grand Inns,"Near Amber Home Interiors, HSR Club Road, Banglore",Parking Facility  Buzzer/Door Bell  Attached Bathroom  (+ 10 more),1508
SPOT ON 43981 Falcon Tower SPOT,"Electronic City, Bangalore",Buzzer/Door Bell  Attached Bathroom  Daily Housekeeping  (+ 6 more),490
SilverKey Executive Stays 48070 Sai 1st Block Kormangala,"Near Nirguna Mandir Layout, 1st Block Koramangala, Bengaluru",Attached Bathroom,799
OYO 46090 Green Residency,"Near J.C Nagar Police Station, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 7 more),1236
OYO 435 Hotel Amshi International,"Near Freedom Park, Gandhi Nagar, Bangalore",Kitchen  Complimentary Veg Breakfast  CCTV Cameras  (+ 11 more),1639
OYO 4429 Vee Suites,"Vidyanagar Cross, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 6 more),974
OYO 41549 Snehal Residency,"Near Makali, Dasanapura Hablui, Bangalore",Parking Facility  First Aid  CCTV Cameras  (+ 6 more),781
Collection O 30057 Grand Continent JP Nagar,"Opposite Gopalan Innovation Mall, JP Nagar, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 13 more),1527
OYO Home 45741 Exotic Stay Near Hennur Lake,"1st Cross, Kalyan Nagar, Bangalore",Kitchen  Attached Bathroom  Daily Housekeeping  (+ 6 more),999
OYO Townhouse 025 Garuda Mall Bangalore,"Near Majestic Railway Station, Bangalore",Parking Facility  Complimentary Breakfast  Elevator  (+ 9 more),2806
OYO Home 47352 Blissful Stay Ramaiah Institute,"Railway Mens Colony, Mathikere, Bangalore",Not Available,1006
OYO 554 Hotel Red Carpet Residence,"Ulsoor Road, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 7 more),2124
OYO 19749 New Shelton Suites,"Hunasamaranahalli, Bengaluru",Parking Facility  CCTV Cameras  Geyser  (+ 5 more),781
OYO 19524 Maruthi Home Stays 2,"Near RNS College, RR Nagar, Bangalore",Attached Bathroom  CCTV Cameras  Fire-Extinguisher  (+ 7 more),781
OYO 15111 Greencity Comforts,"Madiwala, BTM Layout, Bangalore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 8 more),1006
OYO Townhouse 014 MG Road Bangalore,"Near Ashley Park Road, Bangalore",Parking Facility  CCTV Cameras  Conference Room  (+ 10 more),3250
OYO 11688 Petuni Boutique Hotel,"Silver Springs Layout, Bangalore",Kitchen  CCTV Cameras  Geyser  (+ 7 more),811
OYO 35963 Malnad Residency Saver,"Opposite HDFC Bank, Bidadi, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 9 more),734
OYO 37479 Vinayaka Enclave,"Near IIM-B, JP Nagar, Bangalore",Kitchen  Buzzer/Door Bell  Daily Housekeeping  (+ 7 more),850
OYO 378 Aira Apartments,"HAL Airport Road, Kodihalli Extension, Bangalore",Parking Facility  Elevator  Complimentary Breakfast  (+ 5 more),1508
Capital O 16324 Niche Suites,"Near Nandhana Palace, Bangalore",24/7 Checkin  Power backup  Reception  (+ 3 more),1006
OYO 22935 Iwe Studio,"Santhuru village, Bangalore",Kitchen  First Aid  Complimentary Veg Breakfast  (+ 13 more),865
SPOT ON 45289 Shanthiniketan Homes SPOT,"Bommasandra Industrial Area, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 12 more),490
OYO Home 46681 Elegant Stay Banaswadi,"2nd Stage, HRBR Layout, Bangalore",Living Area  Kitchen  Spacious Dining Area  (+ 7 more),864
OYO 10335 Platinum Hotel,"Near RMZ Ecospace Tech Park, Bellandur, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 8 more),1599
OYO Home 45705 Classic Villa Near Gopalan Mall,"4th A Cross Rd, Kasturi Nagar, Bengaluru",Living Area  Kitchen  Spacious Dining Area  (+ 5 more),999
OYO 11419 Surya Residency,"Tarabanahalli, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 7 more),1413
OYO 37823 Sri Renuka Boarding & Lodging,"Near Sanjeevini Hospital, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 10 more),811
SPOT ON 23316 The City Getaway Service Apartment SPOT,"Near Subedarpalya, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 7 more),436
OYO 16123 Chandana Deluxe,"Konappana Agrahara, Electronic City, Bangalore",Parking Facility  Kitchen  Bar  (+ 6 more),781
OYO 10114 Hotel Telehaus International,"Shanti Nagar, Bangalore",Bar  CCTV Cameras  Elevator  (+ 7 more),1330
OYO 22900 Sri Sai Inn,"Near Laxmi Hospital , 2nd Cross, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 10 more),766
OYO 9559 Hotel New Fort,"Near Hoskote High School Bus Stop, Banglore",Parking Facility  Kitchen  CCTV Cameras  (+ 10 more),766
OYO Home 48370 Enticing Stay Kalyan Nagar,"Near Balachandra Layout, Kalyan Nagar, Bangalore",Not Available,1006
OYO 12033 Hotel Royal Residence,"Near Narayana Hospital, HSR Layout, Bangalore",Kitchen  Complimentary Veg Breakfast  CCTV Cameras  (+ 9 more),1880
OYO 43984 Sri Krishna Nilaya,"Chansandra, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 7 more),774
SilverKey Executive Stays 39585 Koramangala Sony World Signal,"Near Kormangala Club, Bangalore",Kitchen  Attached Bathroom  Daily Housekeeping  (+ 8 more),1815
OYO 36494 Hotel Reddy Inn,"Near SBI Bank, Bannerghatta Anekal Road, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 7 more),766
OYO Townhouse 006 Koramangala Sony Signal,"Inner Ring Road, Koramangala, Bangalore",CCTV Cameras  Conference Room  Geyser  (+ 8 more),4281
OYO 4428 Central Platinum Suites,"Near Narayana Multispeciality Hospital, Bangalore",Kitchen  CCTV Cameras  Geyser  (+ 7 more),1401
OYO Home 45645 Pleasant Stay HSR Layout,"Sector 7, HSR Layout, Bangalore",Kitchen  Functional Living Area  Attached Bathroom  (+ 9 more),1299
OYO 35906 Indu Comforts,"Near Hunasamaranahalli, Bangalore",Parking Facility  Buzzer/Door Bell  Complimentary Veg Breakfast  (+ 13 more),811
OYO 16936 Champion Orchid,"Near PES University, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 11 more),811
OYO 16723 Stay Bridge Vibe,"Near Iblur Bus Stop, Bellandur, Bangalore",CCTV Cameras  Geyser  Complimentary Breakfast  (+ 6 more),811
OYO Home 46643 Cosy Stay Banaswadi,"HRBR Layout, Banasawadi, Bengaluru",Living Area  Kitchen  AC  (+ 4 more),999
OYO 3023 Compact Suites,"Lavelle Road, Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 9 more),2659
SPOT ON 48001 Garden Gate Lodge SPOT,"Banglore North -, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 5 more),532
OYO 13121 Sai Kuteer,"Near MG school, Bilekahalli , Bangalore",Parking Facility  Complimentary Veg Breakfast  CCTV Cameras  (+ 8 more),729
OYO 894 Apartment Hotel 510 Chetana,"HSR Layout, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 8 more),972
SPOT ON 46907 Hotel Ganesh Mahal SPOT,"Near Majestic Railway Station, Bangalore",Not Available,622
OYO 10332 Hotel Sai Arcade,"Near Shivananda Circle, Sheshadripuram, Bangalore",CCTV Cameras  Elevator  Complimentary Breakfast  (+ 5 more),1006
SPOT ON 46666 Hotel Ck International  SPOT,"Thally Road, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 6 more),490
OYO Home 24184 Elegant Stay,"HSR Layout, Sector 4, Bangalore",Kitchen  Attached Bathroom  Daily Housekeeping  (+ 7 more),1399
OYO 11590 Red Carpet Residence,"Kalyan Nagar, Bangalore",CCTV Cameras  Geyser  Electric Kettle  (+ 6 more),3423
OYO Home 36450 Peaceful Stay Silk Board,"Near MCHS Colony, Sector 6, Bengaluru",Kitchen  Attached Bathroom  Daily Housekeeping  (+ 4 more),1499
OYO 27280 Hotel Maya International,"Near MG Road Metro Station, Bangalore",First Aid  Attached Bathroom  CCTV Cameras  (+ 11 more),1733
SPOT ON 45666 Pavan Residency SPOT,"Near Tumakuru, Bangalore",Not Available,436
Capital O 37879 Orchard Greens,"Near KSR Railway Station, Harlur Road, Bangalore",First Aid  Daily Housekeeping  Refrigerator  (+ 15 more),1936
SPOT ON 41143 Hotel Nash Inn SPOT,"Near Indra Nagar, Bangalore",Parking Facility  Attached Bathroom  CCTV Cameras  (+ 8 more),490
OYO 26708 Sky Palace,"Near Bescom Office, Ayappa Garden, Bangalore",Attached Bathroom  CCTV Cameras  Fire-Extinguisher  (+ 7 more),781
SPOT ON 37390 S A B Residency SPOT,"Near  Kenchanakuppe, Bidadi, Bangalore",Parking Facility  24/7 Checkin  Power backup  (+ 3 more),490
OYO 346 Hotel AAB Residency,"Near Thanisandra Main Road, Nagawara signal, Bangalore",Parking Facility  CCTV Cameras  Conference Room  (+ 9 more),1006
SPOT ON 41675 Royal Inn Thirthalli SPOT,"Near Tirthahalli Bus Stand, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 8 more),490
OYO 35630 Country Club Coconut Grove,"Near Sri Ranganatha Swamy Temple, Bangalore",First Aid  Daily Housekeeping  Games  (+ 16 more),811
OYO 11051 Comforts,"Near Sony Centre, Koramangala, Bangalore",Kitchen  CCTV Cameras  Geyser  (+ 6 more),1302
OYO 331 Hotel Skanda Shelters,"Behind IIMB, Bannerghatta Road, Bangalore",CCTV Cameras  Geyser  Elevator  (+ 6 more),972
Capital O 28808 -Sai Vishram,"Near Narayan Hospital, Electronic City, Bangalore",Bath Tub  First Aid  Conference Room  (+ 19 more),3439
Capital O 44165 Sai Vishram Premier,"Near Narayan Hospital, Bangalore",Bath Tub  First Aid  Daily Housekeeping  (+ 21 more),3454
OYO 22101 Shree Raksha Comfort,"BB Rd Devanahalli Town, Bangalore",First Aid  Attached Bathroom  CCTV Cameras  (+ 9 more),784
OYO 6173 Udupi Park Inn,"Yeshwantpur, Bangalore",AC  TV  Card Payment  (+ 4 more),766
OYO 9252 SLN Homes,"Near Jakkur, Yelahanka, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 9 more),865
OYO 38662 Snt Comforts Lodge,"Majestic, Bangalore",Elevator  Complimentary Breakfast  AC  (+ 5 more),817
OYO 451 Goyal Residency,"Near Shiksha Infotech, Hosur Main Road, Bangalore",First Aid  Daily Housekeeping  Complimentary Breakfast  (+ 17 more),1330
OYO Townhouse 049 HSR Layout,"Near Kadalda Meen, Bangalore",Kitchen  First Aid  Attached Bathroom  (+ 11 more),3498
OYO 10435 Star Deluxe Lodge SPOT,"Near Dharmaraja Kovil Street, Banglore",Complimentary Veg Breakfast  Attached Bathroom  CCTV Cameras  (+ 7 more),811
OYO 29020 Vm Comfort,"Near KTM Showroom, Gandhi Nagar, Banglore",First Aid  Daily Housekeeping  Elevator  (+ 14 more),1006
OYO 44581 Prince Palace,"Below Subregister Office, Bangalore",Parking Facility  First Aid  Buzzer/Door Bell  (+ 11 more),796
OYO 35628 Krishna Comforts Saver,"Gokula 1st Stage, Yeshwanthpur,Bangalore",First Aid  CCTV Cameras  Fire-Extinguisher  (+ 9 more),685
OYO 12024 Sree Nandanam Residency,"Near LIC Building, Gokula, Bangalore",Elevator  AC  TV  (+ 5 more),781
SPOT ON 48301 Thirumala Boarding & Lodge SPOT,"Chikka Thirupati, Bangalore",Parking Facility  Banquet Hall  Attached Bathroom  (+ 5 more),436
OYO 4606 Hotel Maple Green Suites,"80 Feet Road, Bangalore",Parking Facility  CCTV Cameras  Geyser  (+ 7 more),1294
OYO Home 48137 Elite Stay Indira Nagar,"Defence Colony, Indira Nagar, Bangalore",Parking Facility  Functional Living Area  CCTV Cameras  (+ 8 more),1599
OYO 14980 Hotel Shubha Sai,"Near Bommasandra Industrial Area, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 10 more),814
OYO 40714 Sathya Sree Restaurant And Lodge Classic,"Sira, Bangalore",Not Available,877
OYO 3159 Log-Inn,"Near Lawrence High School, HSR Layout, Bangalore",CCTV Cameras  Geyser  Electric Kettle  (+ 8 more),1347
SPOT ON 47801 S.g Comforts SPOT,"Near SBI Bank, Bangalore",Daily Housekeeping  Power backup  24/7 Checkin  (+ 4 more),597
OYO 19285 Uv Comforts,"Near I-Mart, Sahakar Nagar, Bengaluru",Kitchen  Complimentary Veg Breakfast  CCTV Cameras  (+ 9 more),1213
Capital O 23003 Shilton Royale,"Koramangala, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 22 more),2481
OYO 3974 Hotel Bcp Royal Residency,"6th A Cross, Bangalore",Card Payment  Power backup  Free Wifi  (+ 4 more),1208
OYO 13596 Akshaya Residency,"Jayanthi Nagar, Horamavu, Bangalore",Kitchen  Complimentary Veg Breakfast  CCTV Cameras  (+ 9 more),865
OYO 42776 Royal King,"Mysore Road, Bangalore",Parking Facility  Attached Bathroom  Daily Housekeeping  (+ 7 more),811
SPOT ON 47215 Jp Hotel  SPOT,"Near Yeswanthpur, Bangalore",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 4 more),490
OYO 10293 Rajmahal Comforts,"Devasandra Circle, Bangalore",AC  TV  Card Payment  (+ 4 more),846
OYO 3778 Hotel Pulkeshi,"Near Gandhi Nagar Park, Gandhinagar, Banglore",Complimentary Veg Breakfast  CCTV Cameras  Geyser  (+ 7 more),1208
OYO 38144 Hotel Kingstone Palace,"Near Jaynagar RTO, Geetha Colony, Bangalore",Daily Housekeeping  Complimentary Breakfast  Elevator  (+ 15 more),1223
OYO 39719 Mallika Residency,"Near BWSSB, Pennya Industrial Area, Bengaluru",Attached Bathroom  Daily Housekeeping  CCTV Cameras  (+ 2 more),728
Palette - Solace Resorts & Spa,"Near Chintamani Road, Hoskote, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 17 more),3755
OYO 18836 Orchid Suites,"Near International Airport, Byatarayanapura, Bangalore",Kitchen  CCTV Cameras  Geyser  (+ 8 more),811
Palette-SilverStar,"Near Freedom Park, Gandhi Nagar, Bangalore",Parking Facility  Kitchen  CCTV Cameras  (+ 5 more),2068
OYO 18880 Venus Comforts,"Near Karnataka bank, Jigni Link Road, Banglore",Parking Facility  AC  TV  (+ 5 more),1387
OYO 12985 Sabharwal Viceroy,"Minnerva Circle, Kalasipalya, Bangalore",Parking Facility  Kitchen  Complimentary Veg Breakfast  (+ 9 more),865
Collection O 36894 Golden Sands,"Sony world Signal Koramangala, Bangalore",Attached Bathroom  Card Payment  CCTV Cameras  (+ 2 more),1615
Palette- Gardeenia Comforts Suites,"Hosur Main Road, Bommasandra, Bangalore",Parking Facility  Kitchen  Bar  (+ 16 more),2166
Palette - Grand Seasons (The Business Hotel),"Kasturi Nagar, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 14 more),2166
OYO 10291 Sri Venkatadri Residency,"Near Maha Bazar, Banglore",CCTV Cameras  Geyser  Complimentary Breakfast  (+ 6 more),846
OYO 1327 Inchara Hotel,"Near Sri Muneshwara Swamy Temple, Banglore",Bath Tub  Conference Room  Wheelchair Accessible  (+ 8 more),514
SPOT ON 36102 Akshara Regency SPOT,"Karnataka Soap And Detergent Factory, Bangalore",First Aid  Buzzer/Door Bell  Attached Bathroom  (+ 9 more),704
Palette - Npg Hotel,"Chikkajala, Bangalore",First Aid  Attached Bathroom  Daily Housekeeping  (+ 14 more),2166
Palette - Sakrebyle Elephant Camp Jungle Lodges,"Sakrebyle, Bangalore",Parking Facility  First Aid  Attached Bathroom  (+ 3 more),2484
Palette - Golden Metro,"Near Apollo Hospital, Bangalore",First Aid  Daily Housekeeping  Conference Room  (+ 18 more),2957
"Palette - Bannerghatta Nature Camp, Jungle Lodges","Bannerghatta, Bangalore",Complimentary Breakfast  Power backup  Reception  (+ 6 more),2777
